Project #,Project Name,Description,Uses Previous Project,Next Project,Category,Phase,Remark
1,Hello World LED,Blink built-in LED,-,2,GPIO Basics,Basic GPIO & Core Features,Not Completed
2,Serial Hello World,"Print ""Hello ESP32"" to serial",1,3,Serial Communication,Basic GPIO & Core Features,Not Completed
3,Serial Command LED,Control LED via serial commands,2,4,Input Handling,Basic GPIO & Core Features,Not Completed
4,Boot Button Control,Use BOOT button to toggle LED,3,5,Digital Input,Basic GPIO & Core Features,Not Completed
5,Button Debouncing,Implement software debouncing,4,6,Input Processing,Basic GPIO & Core Features,Not Completed
6,LED Pattern Generator,Create light patterns on multiple GPIOs,1,7,GPIO Patterns,Basic GPIO & Core Features,Not Completed
7,Serial Pattern Control,Change LED patterns via serial,"3, 6",8,Serial Control,Basic GPIO & Core Features,Not Completed
8,Simple EEPROM Settings,Save favorite pattern to EEPROM,7,9,Data Storage,Basic GPIO & Core Features,Not Completed
9,RTC Memory Storage,Store data in RTC memory across reboots,8,10,RTC Memory,Basic GPIO & Core Features,Not Completed
10,Deep Sleep with Timer,"Put ESP32 to sleep, wake by timer",9,11,Power Management,Basic GPIO & Core Features,Not Completed
11,Touch Wakeup,Wake from sleep via touch sensor,10,12,Touch Sensor,Basic GPIO & Core Features,Not Completed
12,Multi-Source Wakeup,Combine timer + touch wakeup,"10, 11",13,Multiple Wake Sources,Basic GPIO & Core Features,Not Completed
13,Wakeup Reason Detection,Detect why ESP32 woke up,12,14,System Monitoring,Basic GPIO & Core Features,Not Completed
14,Sleep Statistics Logger,Log sleep/wake cycles to EEPROM,"8, 13",15,Data Logging,Basic GPIO & Core Features,Not Completed
15,Power Consumption Monitor,Estimate and report power usage,14,16,Power Analysis,Basic GPIO & Core Features,Not Completed
16,Internal Temperature Monitor,Read internal temperature sensor,2,17,Internal Sensors,Basic GPIO & Core Features,Not Completed
17,Temperature Data Logger,Log temperature with timestamps,"8, 16",18,Sensor Logging,Basic GPIO & Core Features,Not Completed
18,Serial Data Plotter,Output data in plotter-friendly format,17,19,Data Visualization,Basic GPIO & Core Features,Not Completed
19,Hall Effect Sensor,Read internal hall effect sensor,16,20,Magnetic Sensors,Basic GPIO & Core Features,Not Completed
20,Magnetic Field Monitor,Monitor magnetic field changes,"18, 19",21,Sensor Monitoring,Basic GPIO & Core Features,Not Completed
21,WiFi Scanner,Scan and list available networks,2,22,WiFi Basics,Wireless Communication ,Not Completed
22,Basic WiFi Connection,Connect to WiFi network,21,23,WiFi Connection,Wireless Communication ,Not Completed
23,WiFi Connection Manager,Store multiple WiFi credentials,"8, 22",24,WiFi Management,Wireless Communication ,Not Completed
24,WiFi Auto-Reconnect,Automatic reconnect on disconnect,23,25,Network Reliability,Wireless Communication ,Not Completed
25,WiFi Signal Monitor,Monitor and log WiFi signal strength,"18, 22",26,Network Monitoring,Wireless Communication ,Not Completed
26,Basic Web Server,"Host simple ""Hello World"" web page",22,27,Web Server,Wireless Communication ,Not Completed
27,Web LED Controller,Control LED via web interface,"3, 26",28,Web Control,Wireless Communication ,Not Completed
28,Web Pattern Controller,Control LED patterns via web,"7, 27",29,Advanced Web Control,Wireless Communication ,Not Completed
29,Async Web Server,Implement asynchronous web server,28,30,Async Programming,Wireless Communication ,Not Completed
30,SPIFFS Web Server,Serve files from SPIFFS filesystem,29,31,File Serving,Wireless Communication ,Not Completed
31,WebSocket LED Control,Real-time LED control via WebSocket,"27, 29",32,Real-time Communication,Wireless Communication ,Not Completed
32,Real-Time Sensor Web,Stream sensor data via WebSocket,"18, 31",33,Real-time Data,Wireless Communication ,Not Completed
33,BLE Server Basics,Create simple BLE server,2,34,BLE Basics,Wireless Communication ,Not Completed
34,BLE LED Service,Control LED via BLE characteristic,"3, 33",35,BLE Control,Wireless Communication ,Not Completed
35,BLE Sensor Service,Read sensors via BLE,"16, 34",36,BLE Sensors,Wireless Communication ,Not Completed
36,BLE Pattern Service,Control LED patterns via BLE,"7, 35",37,BLE Patterns,Wireless Communication ,Not Completed
37,BLE to WiFi Bridge,Relay BLE commands to web server,"28, 36",38,Protocol Bridge,Wireless Communication ,Not Completed
38,Basic OTA Update,Implement simple OTA update,22,39,OTA Updates,Wireless Communication ,Not Completed
39,Web-Based OTA,OTA updates via web interface,"29, 38",40,Web OTA,Wireless Communication ,Not Completed
40,Secure OTA Updates,Add authentication to OTA,39,41,Security,Wireless Communication ,Not Completed
41,Dual Core Basics,Run tasks on both cores,1,42,Multi-core,Advanced System Features ,Not Completed
42,Inter-Core Communication,Pass data between cores,41,43,Core Communication,Advanced System Features ,Not Completed
43,Dual Core Sensor Reading,"Read sensors on one core, process on other","16, 42",44,Multi-core Sensors,Advanced System Features ,Not Completed
44,Core-Specific Web Server,"Web server on one core, sensors on other","29, 43",45,Multi-core Web,Advanced System Features ,Not Completed
45,FreeRTOS Task Priorities,Experiment with task priorities,44,46,Task Management,Advanced System Features ,Not Completed
46,Resource Semaphores,Protect shared resources with semaphores,45,47,Synchronization,Advanced System Features ,Not Completed
47,Inter-Task Queues,Pass data between tasks using queues,46,48,Data Passing,Advanced System Features ,Not Completed
